// Psy-Q SDK functions, written by tools/gen_sdk.py.
//
// These are linked in from Sony's libraries and must not be
// decompiled, so tools/progress.py leaves them out of the
// totals and reports them separately. Read the tool's
// docstring for how a function ends up here. A row that is
// wrong is game code being written off - fix it there.
//
// target  address   size  name
main     80021D18     76  VMANAGER_OBJ_1CDC
main     80021D64    232  SpuVmInit
main     80021E4C    436  VMANAGER_OBJ_1E10
main     80022000    308  VMANAGER_OBJ_1FC4
main     80022134    152  SpuVmNoiseOnWithAdsr
main     800221CC    184  SpuVmNoiseOff
main     80022284    128  SpuVmNoiseOn
main     80022304    376  SpuVmPBVoice
main     8002247C    140  VMANAGER_OBJ_2440
main     80022508    240  SpuVmPitchBend
main     800225F8    940  SpuVmFlush
main     800229A4    300  SpuVmKeyOn
main     80022AD0   1116  VMANAGER_OBJ_2A94
main     80022F2C     28  VMANAGER_OBJ_2EF0
main     80022F48     20  VMANAGER_OBJ_2F0C
main     80022F5C     56  VMANAGER_OBJ_2F20
main     80022F94    300  SpuVmKeyOff
main     800230C0    148  VMANAGER_OBJ_3084
main     80023154     48  VMANAGER_OBJ_3118
main     80023184    176  SpuVmSeKeyOn
main     80023234     60  VMANAGER_OBJ_31F8
main     80023270     52  SpuVmSeKeyOff
main     800232A4      8  KeyOnCheck
main     800232AC    372  SpuVmSetSeqVol
main     80023420    108  SpuVmGetSeqVol
main     8002348C     80  SpuVmGetSeqLVol
main     800234DC     80  SpuVmGetSeqRVol
main     8002352C    140  SpuVmSeqKeyOff
main     800235B8    184  VMANAGER_OBJ_357C
main     80023670    116  SpuVmSetProgVol
main     800236E4     84  SpuVmGetProgVol
main     80023738    116  SpuVmSetProgPan
main     800237AC     84  SpuVmGetProgPan
main     80023800    816  SpuVmSetVol
main     80023B30    156  VMANAGER_OBJ_3AF4
main     80023BCC    100  VMANAGER_OBJ_3B90
main     80023C30     44  VMANAGER_OBJ_3BF4
main     80023C5C    220  VMANAGER_OBJ_3C20
main     80023D38    376  SsUtKeyOn
main     80023EB0    492  VMANAGER_OBJ_3E74
main     8002409C     12  VMANAGER_OBJ_4060
main     800240A8     52  VMANAGER_OBJ_406C
main     800240DC    316  SsUtKeyOff
main     80024218    148  VMANAGER_OBJ_41DC
main     800242AC     16  VMANAGER_OBJ_4270
main     800242C8      8  VMANAGER_OBJ_428C
main     800242D0    392  SsUtKeyOnV
main     80024458    464  VMANAGER_OBJ_441C
main     80024628     16  VMANAGER_OBJ_45EC
main     80024638     52  VMANAGER_OBJ_45FC
main     8002466C     96  SsUtKeyOffV
main     800246CC    164  VMANAGER_OBJ_4690
main     8002477C      8  VMANAGER_OBJ_4740
main     80024784    144  SsUtPitchBend
main     80024814    284  SsUtChangePitch
main     80024930     36  VMANAGER_OBJ_48F4
main     80024954    204  SsUtChangeADSR
main     80024A20     12  VMANAGER_OBJ_49E4
main     80024A2C     80  SsUtGetDetVVol
main     80024A7C      8  VMANAGER_OBJ_4A40
main     80024A84     96  SsUtSetDetVVol
main     80024AE4     12  VMANAGER_OBJ_4AA8
main     80024AF0    132  SsUtGetVVol
main     80024B74      8  VMANAGER_OBJ_4B38
main     80024B7C    128  SsUtSetVVol
main     80024BFC     12  VMANAGER_OBJ_4BC0
main     80024C08     68  SsUtAutoVol
main     80024C4C     16  VMANAGER_OBJ_4C10
main     80024C5C     68  SsUtAutoPan
main     80024CA0     16  VMANAGER_OBJ_4C64
main     80024CB0    284  SsUtAllKeyOff
main     80024DCC    192  VMANAGER_OBJ_4D90
main     80024E8C     76  SpuInitMalloc
main     80024ED8      8  S_M_INIT_OBJ_4C
main     80024EE0     36  SpuSetNoiseVoice
main     80024F04    160  _SpuSetAnyVoice
main     80024FA4     20  S_SAV_OBJ_A0
main     80024FB8     16  FUN_80024fb8
main     80024FC8     32  PCcreat
main     80024FE8     12  FUN_80024fe8
main     80024FF4    148  PCread
main     80025088     44  READ_OBJ_94
